"","atopid","polity","s_wt_glo","maxmajpow","consultatop","nagatop","neutatop","defenseatop","offenseatop","secrecy","conditio","intcom","base","contrib","ecaid","milaid","organ1","specthrt","macowe","maconc","maconp","nmacowe","nmaconc","nmaconp","nmaroir","condother","speclength","condlength","renounceok","renounceproh","renouncecond","milcontact","commondef","lallycount","lsumcap","ldistance","compel","prob","deter","deterministic","unconditional","PotMilCapacity.score","Depth.score","Scope.score","indx"
"207",3105,0,0.97,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.693,-4.048,0,0,0,1,1,0,-1.135,-0.371,-0.169,203
"208",3110,0,0.958,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.693,-3.925,0,0,0,1,1,0,-1.123,-0.498,-0.165,204
"209",3115,0,0.531,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.693,-1.07,0,0,0,1,1,1,0.819,-0.513,1.907,205
"210",3120,0,0.548,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.693,-1.077,0,0,0,1,1,1,0.814,-0.509,1.894,206
"211",3125,5,0.236,1,1,0,0,1,0,0,0,0,3,1,1,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.693,-1.919,7.725,0,1,1,0,0,0.83,3.619,-0.432,207
"212",3130,10,0.795,1,1,0,0,1,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0.688,0,1.609,0.027,4.948,0,0,1,1,0,0.941,0.205,0.032,208
"213",3135,0,0.561,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.693,-1.084,6.111,0,0,1,1,1,0.806,-0.481,1.898,209
"214",3140,5,0.442,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.693,-1.092,0,0,1,1,0,0,0.84,-0.481,-0.155,210
"215",3145,0,0.996,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.693,-3.458,6.498,0,0,1,1,1,-1.06,-0.497,1.919,211
"216",3150,2.711,0.984,1,1,1,0,1,0,0,1,0,0,1,0,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.555,2.569,7.565,0,0,1,1,0,1.265,0.502,0.107,212
