"atopid","dem.prop","joint.democ","avg.democ","max.democ","min.democ","avg.democ.weight","max.threat","min.threat","mean.threat","maxcap.democ.min","maxcap.democ.max","maxcap.cons","maxcap.rec","maxcap.comp","maxcap.open","prop.open","prop.cons","maxcap.cont.std","maxcap.inc.std","maxcap.comp.lied","maxcap.open.lied","maxcap.lied","maxcap.poly"
2070,0.5,0,2,8,-4,2.34861552116194,0.44401899,0,0.222009495,0,8,1,1,0,1,0.5,0.5,0,0,1,1,6,0.64
2075,0,0,-6,-6,-6,-1.44159738644952,0.444019,0.148308,0.2961635,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1
2080,0.5,0,1.5,7,-4,1.34213984827458,0.44401899,0.44401899,0.44401899,0,7,1,1,0,1,0.5,0.5,0,0,1,1,6,0.778
2085,0,0,-2,0,-4,-1.17372806760167,0.44401899,0.44401899,0.44401899,-4,0,0,0,0,0,0,0,0,0,0,1,2,0.248
2090,0,0,-3.5,-1,-6,-1.40759227878877,0.444019,0.444019,0.444019,-1,0,0,0,0,0,0,0,0,0,0,1,2,0.104
2095,0.75,0,7,10,1,2.1459409957682,0.56857902,0.031454,0.20628800525,0,10,1,1,1,2,0.666666666666667,1,0,0,1,1,4,0.509
2100,1,1,7.5,8,7,3.67314925695957,0.44401899,0.14830799,0.29616349,0,7,1,1,0,1,1,1,0,0,1,1,6,0.778
2105,0.2,0,1.6,10,-6,0.150868725868726,0.573232,0.573232,0.573232,0,2,0,1,0,1,0.6,0.2,0,0,0,1,3,0.085
2110,1,1,8.5,10,7,4.11798733457822,0.15670499,0.15670499,0.15670499,0,7,1,1,0,1,1,1,0,0,1,1,6,0.768
2115,0,0,-2,0,-4,-1.64370433448913,0.46527201,0.46386099,0.4645665,-4,0,0,0,0,0,0,0,0,0,0,1,3,0.157
2120,1,1,8,9,7,4.29433199646222,0.57274097,0.53826302,0.555501995,0,9,1,1,0,0,1,1,0,0,1,1,5,0.569
2125,0.5,0,1.5,7,-4,-0.288040767646102,0.57274097,0.46527201,0.51900649,-4,0,0,0,0,0,1,1,0,0,0,1,3,0.157
2130,0.8,0,5.6,10,-6,1.36331348946772,0.72061902,0.101698,0.367694808,0,10,1,1,1,2,1,0.75,0,0,1,1,5,0.721
2135,1,1,8.5,9,8,4.3634176687665,0.41239601,0.12669399,0.269545,0,9,1,1,0,0,1,1,0,0,1,1,5,0.57
2140,1,1,8,9,7,4.31172775801432,0.57777697,0.41239601,0.49508649,0,9,1,1,0,0,1,1,0,0,1,1,5,0.57
2145,0,0,-6.5,-6,-7,-3.46803573532444,0.60808301,0.571063,0.589573005,-7,0,0,0,0,0,0,0,0,0,0,0,1,0.106
2150,0.5,0,-0.5,6,-7,-0.846137307045383,0.57351798,0.077877,0.32569749,-7,0,0,0,0,0,0.5,0,0,0,0,0,1,0.105
2155,0,0,-6.5,-6,-7,-3.15983460438098,0.562185,0.553258,0.5577215,-6,0,0,0,0,0,0,0,0,0,0,0,1,0.115
2160,0.5,0,2.5,9,-4,3.66193445236878,0.58361197,0.436939,0.510275485,0,9,1,1,0,0,0,0.5,0,0,1,1,5,0.57
2165,0,0,-6.5,-6,-7,-3.3197872382693,0.74466598,0.25278401,0.498724995,-7,0,0,0,0,0,0,0,0,0,0,0,1,0.079
2170,0,0,-6.5,-6,-7,-3.48514073161886,0.57351798,0.553258,0.56338799,-7,0,0,0,0,0,0,0,0,0,0,0,1,0.105
2175,0,0,-5.5,-4,-7,-3.17436773503234,0.74466598,0.58361197,0.664138975,-7,0,0,0,0,0,0,0,0,0,0,0,1,0.079
2185,0,0,-3.5,0,-7,-3.46381583192314,0.57351798,0.169943,0.37173049,-7,0,0,0,0,0,0,0,0,0,0,0,1,0.105
2195,0,0,-7.5,-7,-8,-3.98454591068741,0.565992,0.551586,0.558789,-8,0,0,0,0,0,0,0,0,0,0,0,1,0.106
2200,0.5,0,4.5,9,0,4.05049870657851,0.57294798,0.40621001,0.489578995,0,9,1,1,0,0,0,0.5,0,0,1,1,5,0.57
2205,0,0,-8.5,-8,-9,-4.00526273787775,0.68983197,0.272571,0.481201485,-8,0,0,0,0,0,0,0,0,0,0,0,1,0.077
2210,0,0,-6.5,-6,-7,-3.25764067409312,0.551586,0.551586,0.551586,-7,0,0,0,0,0,0,0,0,0,0,1,2,0.118
2215,0.5,0,3,10,-4,-0.0111691198760484,0.57985097,0.26695698,0.423403975,-4,0,0,0,0,0,0.5,0.5,0,0,1,1,5,0.251
2218,0,0,-6,-6,-6,-3,0.531742,0.432215,0.4819785,-6,0,0,0,0,0,0,0,0,0,0,0,1,0.119
2220,0,0,-7.5,-6,-9,-4.22553741883096,0.67109901,0.432215,0.551657005,-9,0,0,0,0,0,0,0,0,0,0,0,1,0.077
2225,0,0,-2.5,4,-9,-3.6386794291068,0.67109901,0.26695698,0.469027995,-9,0,0,0,0,0,0,0.5,0,0,0,0,1,0.077
2230,0.5,0,0.5,10,-9,-3.40876507804223,0.67109901,0.26695698,0.469027995,-9,0,0,0,0,0,0.5,0.5,0,0,0,0,1,0.077
2235,0,0,-3.5,-1,-6,-1.95660897409915,0.507442,0.26284301,0.385142505,-6,0,0,0,0,0,0,0,0,0,0,0,1,0.119
2240,0.4,0,0.4,10,-8,-1.37228330889735,0.51526999,0.189822,0.329405396,-8,0,0,0,0,0,0.4,0.4,0,0,0,0,1,0.104
2245,0,0,-4.5,-3,-6,-2.7051915531061,0.507442,0.26284301,0.385142505,-6,0,0,0,0,0,0,0,0,0,0,0,1,0.119
2250,0.5,0,0,10,-10,-1.2471004539211,0.63361502,0.583489,0.60855201,-10,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0.159
2255,1,1,8.5,10,7,3.84423220265444,0.63361502,0.214783,0.42419901,0,7,1,1,0,1,1,1,0,0,1,1,6,0.797
2260,0.5,0,2,10,-6,4.11352392423495,0.430747,0.414453,0.4226,0,10,1,1,1,2,0.5,0.5,0,0,1,1,5,0.568
2270,1,1,10,10,10,10,0.47057399,0.47057399,0.47057399,10,10,1,1,1,2,1,1,0,0,1,1,6,0.732
2275,0.5,0,2,10,-6,-0.256529689818169,0.63066,0.430747,0.5307035,-6,0,0,0,0,0,0.5,0.5,0,0,0,0,1,0.121
2280,0,0,-2,4,-8,-3.92089049472073,0.65932298,0.188354,0.42383849,-8,0,0,0,0,0,0.5,0.5,0,0,0,0,1,0.112
2285,0.5,0,-0.5,7,-8,-3.92435448904351,0.65932298,0.188354,0.42383849,-8,0,0,0,0,0,0.5,0.5,0,0,0,0,1,0.112
2290,0.5,0,1,10,-8,-3.95409349476815,0.65932298,0.188354,0.42383849,-8,0,0,0,0,0,0.5,0.5,0,0,0,0,1,0.112
2295,0,0,-5.5,-3,-8,-3.69197654611067,0.65932298,0.119416,0.38936949,-8,0,0,0,0,0,0,0,0,0,0,0,1,0.112
2300,0.5,0,1,10,-8,-1.19825656508822,0.65932298,0.51500797,0.587165475,-8,0,0,0,0,0,0.5,0.5,0,0,0,0,1,0.112
2302,0.333333333333333,0,-2.33333333333333,7,-10,-0.229481248239832,0.448699,0.27427599,0.358481993333333,0,7,1,1,0,1,0.333333333333333,0.333333333333333,0,0,1,1,6,0.786
2305,0,0,-9,-9,-9,-4.5,0.61485898,0.54074597,0.577802475,-9,0,0,0,0,0,0,0,0,0,0,0,1,0.112
2315,0,0,-5,-4,-6,-2.45247204600992,0.448699,0.412497,0.430598,-4,0,0,0,0,0,0,0,0,0,0,1,2,0.22
