"lambda","atopid","begyr","endyr","uncond.milsup","scope.index","latent.depth.mean","offense","defense","consul","neutral","nonagg","base","armred.rc","organ1","milaid.rc","us.mem","ussr.mem","ecaid","trade.dum","milcor.index","econagg.dum","fp.conc.index","econagg.index","num.mem","nonagg.only","wartime","asymm","asymm.cap","low.kap.sc","freq","avg.democ"
0.02160979812558,3525,1965,1971,1,2,0.950653645547949,0,1,0,0,0,3,0,2,0,0,0,0,0,3,1,1,1,2,0,0,1,0,0.7960848,7,4
-0.0763262906408219,3535,1966,1993,1,1,-0.729541750316819,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,1,0.256712,28,-7
-0.0703472081356378,3538,1966,1967,1,2,1.29419827189339,0,1,0,0,0,NA,NA,2,0,0,0,NA,NA,3,0,0,0,2,0,0,0,0,1,2,-7
0.0419104226042606,3540,1967,1991,0,0,-0.713913896552644,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,1,25,-7
0.0508265764205357,3545,1967,1977,0,0,-0.71816539282938,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,1,11,-8
0.039294038966866,3550,1967,1977,1,1,-0.713153659504013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,1,11,-8
0.0417026083046047,3555,1967,1993,1,1,-0.766539570786824,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,1,27,-7
-0.0499683312176592,3560,1967,1992,1,1,-0.736915857803797,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,0,0,0,1,0.7646633,26,-7
0.0370064814631614,3565,1967,1977,1,1,-0.674930809521446,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,1,11,-8
-0.0545692549527017,3570,1967,1979,1,2,0.96959679904705,0,1,1,0,0,0,0,3,0,0,0,0,0,2,0,0,0,3,0,0,0,0,1,13,-7
0.0452709763178344,3575,1967,1977,1,1,-0.772609617659633,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,1,11,-8
-0.0609743665278374,3580,1967,1991,1,1,-0.78391934092145,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,0,0,0,1,0.7646633,25,-7
0.0129125003093601,3590,1968,1968,1,3,0.155840174426888,0,1,1,0,0,0,0,3,0,0,0,3,1,1,1,1,2,3,0,0,0,0,0.7427466,1,-8.33333333333333
0.0359619299361492,3595,1968,1992,1,1,-0.715341040548579,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,1,25,-3.5
0.0312955949520958,3600,1968,1991,1,1,-0.713707359140227,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,1,24,-7
0.0273743321539167,3605,1968,1991,1,1,-0.743333250521298,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,1,24,-3.5
0.0282649226224151,3610,1968,1994,1,1,-0.731122896197154,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,0,0,0,0,1,27,-3.5
0.0316816512601388,3620,1969,1991,1,1,-0.711777901145444,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,1,23,-7
-0.0602131755369227,3625,1970,1993,1,1,-0.755272978442353,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,4,0,0,0,1,0.7171404,24,-7
-0.0660870457433353,3630,1970,1991,1,1,-0.733990682181981,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,0,0,0,1,0.7171404,22,-7
